_,Id,Name,hed__Course__c,hed__Term__c,hed__Capacity__c,hed__End_Date__c,hed__Facility__c,hed__Faculty__c,hed__Section_ID__c,hed__Start_Date__c,Action_Required__c,Administrative_Support__c,Available_Seats__c,Checkout_Cart_Items_Count__c,Content_Challenged_Thinking__c,Course_Code__c,Delivery_Type__c,Develop_Topic_Insights__c,Effective_Learning_Activities__c,Evaluation_Summary__c,Evaluation_Type__c,External_Key__c,Facilitator_Knowledge__c,Facilities_Catering__c,IsActive__c,LMS_Integration_Status__c,LMS_Quality__c,Minimum_Participants__c,On_Hold_Seat__c,Overall_Experience__c,Peer_Engagement__c,Primary_Delivery_Platform__c,Primary_Facilitator__c,Program_Offering__c,Real_World_Learning_Opportunities__c,Registration_End_Date__c,Registration_Start_Date__c,Total_Number_of_Registered_Learners__c,Virtual_Platform_Quality__c,Visible_on_Website__c,Delivery_Mode__c,Migration_Id__c,LMS_Creation_Date__c
[hed__Course_Offering__c],a0B8q000000Ce7BEAS,EXOS0030-20220929-1,a0C8q0000005MuoEAE,a0POm000001KkqOMAS,35,2022-10-20,a0FOm000000WAB3MAO,,,2022-10-20,,,25,4,,EXOS0030,Brisbane Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-10-18,2022-05-01,10,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7CEAS,EXOS0032-20220721-1,a0C8q0000005MupEAE,a0POm000001KkqPMAS,20,2022-08-04,a0FOm000000WAB4MAO,,,2022-08-04,,,-1,1,,EXOS0032,Online Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-07-19,2022-05-01,21,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7DEAS,EXOS0033-20220907-1,a0C8q0000005MuqEAE,a0POm000001KkqQMAS,35,2022-09-07,a0FOm000000WAB5MAO,,,2022-09-07,,,27,0,,EXOS0033,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-09-05,2022-05-01,8,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7EEAS,EXOS0034-20220823-1,a0C8q0000005MurEAE,a0POm000001KkqRMAS,25,2022-08-31,a0FOm000000WAB6MAO,,,2022-08-31,,,25,0,,EXOS0034,Online Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-08-15,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7FEAS,EXOS0034-20221018-1,a0C8q0000005MusEAE,a0POm000001KkqSMAS,25,2022-10-26,a0FOm000000WAB7MAO,,,2022-10-26,,,21,2,,EXOS0034,Online Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-10-13,2022-05-01,4,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7GEAS,EXOS0035-20220614-1,a0C8q0000005MutEAE,a0POm000001KkqTMAS,25,2022-06-17,a0FOm000000WAB8MAO,,,2022-06-17,,,19,,,EXOS0035,Brisbane Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-06-07,2022-05-01,6,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7HEAS,EXOS0035-20221101-1,a0C8q0000005MuuEAE,a0POm000001KkqUMAS,25,2022-11-04,a0FOm000000WAB9MAO,,,2022-11-04,,,15,7,,EXOS0035,Brisbane Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-10-26,2022-05-01,10,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7IEAS,EXOS0036-20220526-1,a0C8q0000005MuvEAE,a0POm000001KkqVMAS,35,2022-05-26,a0FOm000000WABAMA4,,,2022-05-26,,,23,,,EXOS0036,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,12,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7JEAS,EXOS0036-20221122-1,a0C8q0000005MuwEAE,a0POm000001KkqWMAS,35,2022-11-23,a0FOm000000WABBMA4,,,2022-11-23,,,23,6,,EXOS0036,Online Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-11-20,2022-05-01,12,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7KEAS,EXOS0037-20220601-1,a0C8q0000005MuxEAE,a0POm000001KkqXMAS,35,2022-06-01,a0FOm000000WABCMA4,,,2022-06-01,,,29,,,EXOS0037,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-05-30,2022-05-01,6,,FALSE,,,
