Action_Required__c,Administrative_Support__c,Checkout_Cart_Items_Count__c,Content_Challenged_Thinking__c,Delivery_Mode__c,Delivery_Type__c,Develop_Topic_Insights__c,Effective_Learning_Activities__c,Errors,Evaluation_Summary__c,Evaluation_Type__c,External_Key__c,Facilitator_Knowledge__c,Facilities_Catering__c,hed__Capacity__c,hed__Course__c,hed__End_Date__c,hed__Facility__c,hed__Faculty__c,hed__Section_ID__c,hed__Start_Date__c,hed__Term__c,IsActive__c,LMS_Creation_Date__c,LMS_Integration_Status__c,LMS_Quality__c,Migration_Id__c,Minimum_Participants__c,Name,On_Hold_Seat__c,Overall_Experience__c,Peer_Engagement__c,Primary_Facilitator__c,Program_Offering__c,Real_World_Learning_Opportunities__c,Registration_End_Date__c,Registration_Start_Date__c,Total_Number_of_Registered_Learners__c,Virtual_Platform_Quality__c,Visible_on_Website__c
,,,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-18,a0FAD000001RWUt2AO,,,2022-06-09,a0PAD0000050Kor2AE,false,,,,,2,EXOS0040-20220609-2,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,0,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-24,a0FAD000001RWUu2AO,,,2022-06-08,a0PAD0000050Kos2AE,false,,,,,2,EXOS0041-20220608-1,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,0,,false
,,,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-24,a0FAD000001RWUv2AO,,,2022-06-08,a0PAD0000050Kot2AE,false,,,,,2,EXOS0041-20220608-2,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,0,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-15,a0FAD000001RWUr2AO,,,2022-06-06,a0PAD0000050Kou2AE,false,,,,,2,EXOS0042-20220606-1,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,0,,false
,,,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-15,,,,2022-06-06,a0PAD0000050Kov2AE,false,,,,,2,EXOS0042-20220606-2,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,0,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-24,a0FAD000001RWUr2AO,,,2022-06-08,a0PAD0000050Kow2AE,false,,,,,2,EXOS0043-20220608-1,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,0,,false
,,,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-24,,,,2022-06-08,a0PAD0000050Kox2AE,false,,,,,2,EXOS0043-20220608-2,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,0,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-15,a0FAD000001RWUr2AO,,,2022-06-06,a0PAD0000050Koy2AE,false,,,,,2,EXOS0044-20220606-1,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,0,,false
,,,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-16,,,,2022-06-07,a0PAD0000050Koz2AE,false,,,,,2,EXOS0044-20220607-1,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,0,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-18,a0FAD000001RWUr2AO,,,2022-06-09,a0PAD0000050Kp02AE,false,,,,,2,EXOS0045-20220609-1,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,0,,false
